	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
LOC678655	1.9297909977185974	1.8678964639926547	1.925999418556223	1.6507645591169025	2.049630767724601	1.9597701552114672	2.257010618206024	2.257010618206024	2.611172380044005	2.6392321632492775
LOC723809	0.15055967657538138	0.17632277264046287	0.18903382439001715	0.0	0.6135316529179271	0.056583528366367514	0.35614381022527536	0.2016338611696504	0.3103401206121505	0.0
LOC723972	0.17632277264046287	0.0	0.0	0.0	0.17632277264046287	0.15055967657538138	0.0	0.27500704749986976	0.09761079662642233	0.0
LOC727677	0.0	0.15055967657538138	0.0	0.0	0.014355292977070054	0.0	0.0	0.0	0.0	0.0
LOC727849	0.7484612330040358	1.01435529297707	0.7484612330040358	0.29865831556451516	1.2016338611696504	0.3785116232537299	1.0356239097307212	1.3219280948873624	0.722466024471091	0.44360665147561457
LOC727896	4.826294245499635	4.210232990095849	3.931683057059806	4.811984719351674	4.535430914871279	4.701549056943071	4.752213367865143	4.990047219573794	4.577126661307052	3.8529975876133165
LOC727924	0.0	0.0	0.0	0.0	0.014355292977070054	0.0	0.0	0.0	0.0	0.0
LOC728024	1.2509615735332187	1.1375035237499351	1.3617683594191536	1.5558161550616396	1.3334237337251917	1.925999418556223	1.15704371014558	1.2016338611696504	1.5993177936982261	1.0285691521967708
LOC728040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014355292977070054	0.0	0.0
LOC728047	3.582556003014061	3.727920454563199	3.2675357980687347	3.8021932169418253	3.142413437873741	4.34766565630097	4.431622959713292	3.9873208659292536	3.588564737401352	3.070389327891398
LOC728066	1.6870606883398924	2.0738202332916713	2.032100843167024	2.2539892662307865	1.8914191868460786	1.8914191868460786	2.3868109464722167	2.4854268271702415	1.8639384504239715	2.3132458517875616
LOC728084	0.15055967657538138	0.070389327891398	0.5360529002402097	0.29865831556451516	0.08406426478847456	0.0	0.12432813500220177	0.16349873228287956	0.04264433740849372	0.0
LOC728175	0.47508488294878287	0.5160151470036647	0.47508488294878287	0.4222330006830478	0.7824085649273732	0.056583528366367514	0.9560566524124029	0.6599245584023783	0.35614381022527536	0.2630344058337938
LOC728190	2.8155754288625725	3.0992952043377753	3.12267271882414	3.4154882710497003	3.237257770900372	3.533563348214512	3.1076878693143737	3.2809563138310565	3.4436066514756147	3.2172307162206693
LOC728192	0.23878685958711648	0.0	0.16349873228287956	0.2630344058337938	0.12432813500220177	0.3334237337251918	0.0	0.28688114778816154	0.0	0.056583528366367514
LOC728218	0.02856915219677092	0.0	0.02856915219677092	0.0	0.070389327891398	0.0	0.0	0.014355292977070054	0.0	0.0
LOC728228	0.15055967657538138	0.0	0.13750352374993502	0.0	0.09761079662642233	0.15055967657538138	0.08406426478847456	0.070389327891398	0.18903382439001715	0.0
LOC728264	2.931683057059806	2.4776773275653072	2.2720231890610485	2.039138393906958	2.763411574470007	2.8639384504239715	2.7548875021634687	3.2675357980687347	2.0840642647884744	2.0669502439246266
LOC728276	0.0	0.0	0.0	0.04264433740849372	0.056583528366367514	0.0	0.0	0.0	0.11103131238874395	0.0
LOC728323	2.0426443374084937	1.8875252707415875	1.6040713236688608	1.3448284969974411	1.4905701304462013	1.4059923596758368	1.9597701552114672	1.5058909297299572	1.2448870591235344	1.5558161550616396
LOC728342	1.6780719051126378	1.1043366598147355	0.8479969065549501	1.0285691521967708	1.722466024471091	1.8836208162856714	1.8797057662822882	1.9597701552114672	1.1505596765753812	0.765534746362977
LOC728377	2.341985747228616	1.411426245726465	2.3161457422933562	2.726831217032493	1.3561438102252754	2.974529312483882	2.587364990936461	2.713695814843359	1.5993177936982261	0.9107326619029126
LOC728392	0.36737106564852945	2.2203299548795554	0.963474123974886	0.6507645591169021	0.9335726382610241	1.3673710656485294	0.9708536543404835	2.232660756790275	2.269033146455237	2.611172380044005
LOC728407	2.920293300211007	3.0197019144425483	3.063502942306158	2.8155754288625725	3.0959244199985356	3.1858665453113337	3.3348542693316325	3.4208865749755315	3.0721058004804194	2.689299160535892
LOC728431	1.570462931026041	0.8718436485093178	1.1505596765753812	0.8399595874895318	1.0285691521967708	1.2016338611696504	0.7484612330040358	1.1699250014423124	0.963474123974886	1.2265085298086797
LOC728463	0.09761079662642233	0.11103131238874395	0.056583528366367514	0.0	0.08406426478847456	0.0	0.12432813500220177	0.014355292977070054	0.21412480535284734	0.0
LOC728537	1.6870606883398924	0.8318772411916731	1.5260688116675876	1.0	0.8559896973084807	0.7739963251111731	1.0976107966264221	0.9486008474933558	1.0285691521967708	0.35614381022527536
LOC728554	0.8953026213333066	1.790772037862	1.925999418556223	1.3045110418099528	1.7990873060740036	1.1176950426697545	0.9927684307689242	1.3840498067951599	1.3785116232537298	1.2868811477881617
LOC728558	3.61706334388818	3.1160319934471103	2.62993940943954	2.811471030529836	3.2764966656403565	3.137503523749935	3.351910961103077	3.7602209464665095	2.7092906357233577	2.5285713188707577
LOC728606	1.3561438102252754	0.9560566524124029	0.963474123974886	0.7398481026993274	1.411426245726465	1.1634987322828796	1.5058909297299572	1.4222330006830475	1.2868811477881617	0.879705766282288
LOC728613	2.643856189774725	2.1009776477248208	2.0036022366801953	2.5285713188707577	2.2448870591235344	2.4276061727818994	2.6182386555954547	2.5582676340557358	1.875780063068488	2.1538053360790355
LOC728622	0.0	0.25096157353321874	0.02856915219677092	0.056583528366367514	0.27500704749986976	0.02856915219677092	0.32192809488736235	0.28688114778816154	0.014355292977070054	0.11103131238874395
LOC728640	0.6870606883398922	0.5360529002402097	0.41142624572646497	0.9708536543404835	0.5655971758542251	0.7907720378619999	1.1890338243900171	1.0976107966264221	0.765534746362977	0.21412480535284734
LOC728643	0.0	0.34482849699744117	0.32192809488736235	0.0	0.27500704749986976	0.08406426478847456	0.16349873228287956	0.13750352374993502	0.0	0.0
LOC728716	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0	0.0	0.0	0.0
LOC728723	0.9335726382610241	1.5993177936982261	1.4905701304462013	2.1043366598147357	1.495695162624069	1.280956313831056	1.4168397419128291	2.0806576633452254	1.9335726382610239	1.411426245726465
LOC728724	0.0	0.0	0.0	0.15055967657538138	0.0	0.0	0.0	0.0	0.11103131238874395	0.0
LOC728730	1.709290635723358	0.9335726382610241	1.2016338611696504	1.2570106182060237	1.3785116232537298	1.0214797274104517	1.5801454844233804	1.875780063068488	1.5410191531335593	0.6599245584023783
LOC728739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
LOC728743	1.8114710305298358	2.127633279725874	0.9927684307689242	1.7048719644563528	1.6040713236688608	2.070389327891398	1.3785116232537298	1.765534746362977	1.7824085649273733	2.0806576633452254
LOC728752	4.116863757690899	2.8278190246173196	3.4475791965488827	2.811471030529836	3.0443941193584534	3.3840498067951597	3.9616233282869446	3.704871964456353	3.1651079851445365	2.587364990936461
