	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
RNU2-58P	0.0	0.0	0.962773549420808	0.951485877153058	0.0	0.0
RNU2-5P	0.0	0.0	0.962773549420808	1.51990756854094	1.72666074592923	0.0
RNU2-62P	0.0	0.0	0.0	0.0	1.72666074592923	0.0
RNU2-63P	0.957439223542008	2.17040248629421	0.0	0.0	0.0	1.07435283090471
RNU2-65P	0.0	0.0	0.962773549420808	0.0	1.10755695246591	1.68327177306147
RNU2-68P	1.9356785405249	2.83341775138823	2.52237382456651	3.23339272576204	3.77640397382505	2.93256456353744
RNU2-69P	0.0	0.907177105483059	0.0	0.0	1.10755695246591	0.0
RNU2-6P	2.51331392522965	1.45982229981518	0.0	0.951485877153058	1.10755695246591	1.68327177306147
RNU2-70P	0.957439223542008	0.0	0.0	0.951485877153058	0.0	1.68327177306147
RNU2-71P	0.0	0.0	0.962773549420808	0.0	0.0	0.0
RNU2-7P	1.52793113248798	0.907177105483059	0.962773549420808	1.51990756854094	1.72666074592923	1.68327177306147
RNU4-1	0.0	0.907177105483059	0.0	0.0	1.72666074592923	0.0
RNU4-14P	0.957439223542008	0.0	0.0	0.951485877153058	0.0	0.0
RNU4-2	0.0	1.45982229981518	0.0	0.0	4.00112287269343	0.0
RNU4-21P	0.0	0.907177105483059	0.0	0.951485877153058	1.10755695246591	0.0
RNU4-22P	1.52793113248798	2.64437186658867	1.94379380210906	1.51990756854094	1.72666074592923	0.0
RNU4-23P	0.0	0.0	0.0	0.0	1.10755695246591	0.0
RNU4-24P	0.0	0.0	0.0	0.0	1.10755695246591	0.0
RNU4-28P	0.0	0.0	0.962773549420808	0.0	1.10755695246591	0.0
RNU4-29P	1.52793113248798	1.45982229981518	0.0	0.0	0.0	0.0
RNU4-35P	0.0	0.0	0.962773549420808	1.51990756854094	0.0	1.07435283090471
RNU4-36P	1.52793113248798	0.0	0.0	0.0	0.0	0.0
RNU4-38P	0.957439223542008	0.0	0.0	0.951485877153058	0.0	0.0
RNU4-39P	1.52793113248798	1.85842555506275	0.962773549420808	0.0	0.0	2.11013994903199
RNU4-40P	0.0	1.45982229981518	0.962773549420808	1.92660299877737	2.76001272995983	1.68327177306147
RNU4-47P	3.50594940643674	2.83341775138823	1.53511066935104	2.72316103421608	3.64939065030732	3.83484537966523
RNU4-48P	0.0	0.0	0.0	0.951485877153058	0.0	0.0
RNU4-51P	0.0	1.45982229981518	0.962773549420808	0.0	1.72666074592923	1.07435283090471
RNU4-52P	1.52793113248798	0.0	2.52237382456651	1.51990756854094	2.49036932429533	0.0
RNU4-53P	1.52793113248798	0.0	0.0	0.951485877153058	1.10755695246591	0.0
RNU4-59P	0.0	0.0	0.962773549420808	0.0	0.0	0.0
RNU4-60P	0.957439223542008	0.0	0.962773549420808	0.0	0.0	0.0
RNU4-62P	2.25321483283842	3.0005371593483	3.39101608485939	4.15457841588732	2.98710739767197	2.7068368987323
RNU4-63P	0.957439223542008	1.85842555506275	0.0	0.0	0.0	1.07435283090471
RNU4-68P	0.0	0.907177105483059	0.0	0.0	1.10755695246591	1.07435283090471
RNU4-72P	0.0	0.0	0.0	0.0	0.0	1.07435283090471
RNU4-78P	2.92467386431012	1.45982229981518	2.74293748242366	0.951485877153058	2.15847061327983	1.68327177306147
RNU4-80P	0.957439223542008	1.45982229981518	0.962773549420808	1.92660299877737	2.15847061327983	0.0
